FILMID,COMPANYID
190859,57409
190859,171
190859,174
526019,106497
526019,4
321612,2
321612,10227
374720,174
374720,9996
465929,54280
465929,112113
98566,2348
98566,4
98566,2481
690369,9993
690369,2785
710717,68884
297761,9993
297761,444
297761,174
297761,507
297761,429
297761,128064
297761,2723
254128,12
254128,79
254128,34081
254128,174
396422,76907
396422,12
396422,11565
396422,174
571627,7819
571627,63762
571627,15975
527641,84409
527641,5490
228150,39649
228150,5
228150,11029
228150,34034
228150,47169
228150,16312
228150,34
257344,5
257344,2608
257344,436
257344,34034
257344,14714
257344,34
339846,90835
339846,4
339846,34081
339846,62029
339846,73669
339846,82819
339846,2364
298618,429
298618,9993
298618,174
298618,128064
298618,114152
441168,10969
441168,47441
441168,137763
656563,52258
658777,4606
658777,138507
454983,104090
101267,23
101267,746
101267,7377
101267,4
485811,115502
732713,68884
732713,20580
513584,102472
513584,1757
513584,137910
57214,1885
57214,3527
1698,161
329996,8601
329996,2
329996,20478
329996,120402
329996,120403
329996,120404
329996,120405
329996,120406
329996,120407
329996,2806
59429,18764
59429,7437
59429,35777
59429,52074
227348,3172
227348,21223
227348,6302
550988,27711
550988,2575
550988,104228
550988,127928
707886,134396
707886,134397
11,1
11,25
554241,8000
554241,2348
554241,96540
554241,10221
131631,1632
131631,5420
282070,11848
282070,41861
282070,1778
10192,521
497,97
497,3982
497,174
182560,3574
182560,6667
182560,11448
182560,13855
182560,22868
182560,40107
182560,59897
641228,75357
641228,32312
641228,21840
438650,694
438650,5111
438650,117591
331482,34
331482,5
331482,84041
331482,508
400650,2
400650,2527
400650,17021
675490,104831
675490,73882
675490,139998
8277,134
8277,33
610290,112397
610290,10285
597,4
597,574
597,25
521029,76907
521029,11565
521029,12
440471,90968
440471,3604
440471,73685
440471,1632
440471,491
736690,139158
736690,93870
736690,139159
259316,437
259316,174
385448,87590
385448,73832
385448,87591
1726,420
1726,4
1726,7297
8456,491
8456,551
8456,23423
623926,29566
623926,109818
628917,16615
628917,133593
628917,34
628917,138252
2770,33
2770,2200
2770,3169
58,2
58,130
58,19936
57800,9383
57800,11749
57800,25
557,19551
557,5
557,34
557,326
385128,33
385128,333
385128,1225
385128,34530
385128,134089
259693,12
259693,444
259693,11565
259693,31375
259693,54392
259693,76907
553835,11884
87101,82819
87101,4
741528,2740
741528,139883
741528,6735
741528,90733
741528,89266
82702,521
449985,103942
449985,116429
449985,116430
449985,108353
618585,121249
618585,121250
181808,1
24021,491
24021,12292
24021,5218
24021,4000
24021,5219
560964,63187
338970,10038
338970,3281
338970,21
338970,174
371370,5542
504253,56933
504253,2883
209112,429
209112,9993
209112,174
209112,8881
209112,41624
209112,507
209112,9995
559,5
559,326
559,34
559,420
862,3
518068,7819
518068,103323
518068,3655
345938,491
345938,32555
22,2
22,130
41505,2088
41505,23199
41505,7437
41505,23200
166426,2
166426,130
166426,2691
8363,5
8363,10105
8363,34
278154,9383
278154,11749
278154,25
18785,923
18785,3527
18785,12235
18785,174
120,12
120,11
120,5237
220289,29303
220289,1436
147441,52184
147441,7076
147441,1645
147441,20656
150540,3
150540,2
500852,11581
500852,1719
619278,113390
619278,33
532638,139014
532638,110304
531219,11395
531219,174
531219,101082
531219,141325
531219,6254
531219,11627
381749,124344
381749,125223
381749,125224
429415,17393
429415,10227
429415,33
10191,521
61979,29566
716706,7579
716706,136633
716706,92336
480857,10163
480857,694
480857,28473
480857,114032
480857,39649
480857,137773
269149,6125
269149,2
50619,491
50619,5219
50619,7490
50619,58321
50619,58322
50619,12292
50619,6446
586954,115677
586954,115678
586954,60440
637920,137006
637920,98733
431819,6689
431819,2883
431819,8157
431819,13845
431819,104184
431819,882
431819,139842
431819,116599
274854,24097
274854,491
274854,2995
274854,12006
274854,33832
274854,72441
274854,1225
121,12
121,11
121,5237
76341,2537
76341,174
76341,41624
76341,79
258509,22213
258509,711
258509,508
258509,10930
258509,5219
661950,141537
661950,3312
726682,82973
573560,29185
573560,17009
168259,87857
168259,33
168259,40890
168259,333
168259,3341
168259,86352
168259,87858
168259,1778
168259,2531
168259,1225
347969,2608
433422,3656
433422,13113
433422,90461
425,25
425,9383
425,11749
343668,22213
343668,2265
343668,5374
343668,25
343668,78995
400535,3528
400535,33681
400535,116147
334521,16853
334521,20277
334521,6705
345887,41096
345887,8151
345887,1423
345887,34
345887,44967
345887,2767
345887,4154
438590,126
438590,104972
438590,423
573699,67089
573699,128657
573699,135035
573699,135036
573699,131092
573699,135037
573699,5431
523077,2373
523077,128081
950,11749
950,9383
950,25
643550,3172
643550,68884
49026,9996
